# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3945
#@/user_id	ac57c271-be81-4f5d-ad4b-2447d3186ee2
a 	啊	c=8 d=0.181512 t=3945
bo te wang 	波特王	c=1 d=3.11276e-06 t=3945
bo wu guan 	博物館	c=1 d=0.000296045 t=3945
bo xing 	波形	c=1 d=4.71468e-08 t=3945
bu 	不	c=4 d=0.0156316 t=3945
bu 	布	c=0 d=2.54895e-09 t=3945
bu 	補	c=1 d=0.474734 t=3945
bu bi 	不必	c=0 d=4.52981e-09 t=3945
bu bi guan xin 	不必關心	c=1 d=4.55252e-08 t=3945
bu chong 	補充	c=1 d=0.438235 t=3945
bu chu lai 	不出來	c=0 d=0.0129771 t=3945
bu cong ming de ren 	不聰明的人	c=1 d=8.21129e-06 t=3945
bu da 	不大	c=1 d=0.00023056 t=3945
bu dong 	不懂	c=0 d=0.0092089 t=3945
bu dui 	不對	c=1 d=0.00357068 t=3945
bu er 	布爾	c=0 d=2.80202e-05 t=3945
bu er luo 	布爾洛	c=1 d=0.000281606 t=3945
bu gan 	不敢	c=1 d=0.0031042 t=3945
bu guo 	不過	c=8 d=0.13756 t=3945
bu hao 	不好	c=0 d=0.00620385 t=3945
bu hao yong 	不好用	c=1 d=7.44785e-05 t=3945
bu jie 	不解	c=0 d=1.60495e-08 t=3945
bu jue de 	不覺得	c=0 d=2.24325e-06 t=3945
bu ke 	不可	c=0 d=2.1287e-07 t=3945
bu ke 	補課	c=1 d=0.00207043 t=3945
bu ke cha jue 	不可察覺	c=1 d=2.13937e-06 t=3945
bu ke neng 	不可能	c=1 d=0.000131698 t=3945
bu ke yi 	不可以	c=2 d=0.000915707 t=3945
bu la ge 	布拉格	c=4 d=0.00112307 t=3945
bu li jie 	不理解	c=1 d=0.00151475 t=3945
bu lie ta ni 	布列塔尼	c=1 d=0.0106734 t=3945
bu pa 	不怕	c=1 d=0.167797 t=3945
bu qing chu 	不清楚	c=1 d=2.00507e-08 t=3945
bu ran 	不然	c=2 d=0.000248021 t=3945
bu ran ne 	不然呢	c=1 d=0.000808767 t=3945
bu shao 	不少	c=1 d=3.19156e-06 t=3945
bu shi 	不是	c=5 d=0.517291 t=3945
bu shi de 	不是的	c=1 d=0.0280154 t=3945
bu shi zai 	不是在	c=1 d=0.153355 t=3945
bu shou 	部首	c=2 d=0.0867846 t=3945
bu shu xi 	不熟悉	c=1 d=7.96861e-06 t=3945
bu ting hua 	不聽話	c=0 d=2.99794e-06 t=3945
bu ting hua de ren 	不聽話的人	c=1 d=3.01297e-05 t=3945
bu tong 	不同	c=0 d=1.0059e-05 t=3945
bu tong de 	不同的	c=2 d=0.00040883 t=3945
bu xi huan 	不喜歡	c=0 d=4.90542e-05 t=3945
bu xi huan chi 	不喜歡吃	c=1 d=0.000493001 t=3945
bu xiang 	不想	c=1 d=0.00337438 t=3945
bu xiang duo shuo le 	不想多說了	c=1 d=0.0269169 t=3945
bu xu yao 	不需要	c=1 d=3.20756e-06 t=3945
bu yan su 	不嚴肅	c=1 d=5.262e-06 t=3945
bu yi yang 	不一樣	c=4 d=0.0856794 t=3945
bu yong 	不用	c=2 d=0.9256 t=3945
bu zai 	不再	c=0 d=0.000532682 t=3945
bu zai hu 	不在乎	c=0 d=1.08665e-08 t=3945
bu zai wai mian 	不再外面	c=1 d=0.00535353 t=3945
bu zhan 	不沾	c=0 d=0.00146986 t=3945
bu zhan bian 	不沾邊	c=1 d=0.0147723 t=3945
bu zhi dao 	不知道	c=3 d=0.913168 t=3945
bu zuo 	不做	c=1 d=3.71544e-07 t=3945
bu zuo le 	不做了	c=1 d=3.36388e-07 t=3945
cai 	才	c=1 d=0.00120052 t=3945
cai 	菜	c=0 d=4.93001e-05 t=3945
cai jian 	採檢	c=1 d=0.946485 t=3945
cai ke yi 	纔可以	c=1 d=0.000455097 t=3945
cai qu 	採取	c=0 d=0.00393602 t=3945
cai qu le 	採取了	c=1 d=0.0395575 t=3945
cai se 	彩色	c=1 d=0.224249 t=3945
cai shi 	纔是	c=1 d=5.90329e-06 t=3945
cai ying wen 	蔡英文	c=2 d=8.13228e-06 t=3945
can guan 	餐館	c=0 d=0.000116895 t=3945
can jian 	參見	c=0 d=0.00135686 t=3945
can kao 	參考	c=1 d=0.701173 t=3945
can ting 	餐廳	c=1 d=1.31781e-07 t=3945
cang jie 	倉頡	c=1 d=4.3417e-09 t=3945
cao cong 	草叢	c=1 d=3.44072e-08 t=3945
cao ping 	草坪	c=1 d=1.74704e-05 t=3945
ce 	側	c=1 d=2.52926e-05 t=3945
ce 	冊	c=1 d=6.03917e-09 t=3945
ce suo 	廁所	c=1 d=0.00670434 t=3945
ceng jing 	曾經	c=1 d=0.293758 t=3945
cha 	叉	c=1 d=1.30432e-08 t=3945
cha 	查	c=1 d=1.03883e-07 t=3945
cha bu duo 	差不多	c=1 d=8.33681e-08 t=3945
cha guan 	茶館	c=1 d=1.49645e-07 t=3945
cha jue 	察覺	c=0 d=2.1287e-07 t=3945
cha li 	查理	c=1 d=0.000238772 t=3945
chai 	拆	c=1 d=8.96444e-09 t=3945
chan sheng 	產生	c=1 d=4.57456e-06 t=3945
chang 	嚐	c=2 d=3.88203e-07 t=3945
chang 	暢	c=2 d=0.891366 t=3945
chang 	長	c=2 d=2.30773e-06 t=3945
chang an 	長安	c=1 d=7.30162e-07 t=3945
chang shi jian 	長時間	c=1 d=0.00540733 t=3945
chao 	超	c=0 d=7.30037e-06 t=3945
chao 	鈔	c=0 d=0.0145148 t=3945
chao dai 	朝代	c=1 d=0.105399 t=3945
chao ji 	超級	c=1 d=1.41637e-07 t=3945
chao ma fan 	超麻煩	c=1 d=7.33697e-05 t=3945
chao xian 	朝鮮	c=1 d=1 t=3920
chao xiao 	嘲笑	c=1 d=0.170333 t=3945
che 	扯	c=1 d=1.91685e-08 t=3945
che 	撤	c=1 d=4.45085e-07 t=3945
che 	車	c=2 d=0.00427034 t=3945
che di 	徹底	c=1 d=5.6445e-08 t=3945
chen 	陳	c=1 d=0.000253537 t=3945
cheng 	乘	c=1 d=0.000397625 t=3945
cheng 	成	c=3 d=0.113609 t=3945
cheng du 	成都	c=2 d=0.000335393 t=3945
cheng du wai guo yu 	成都外國語	c=1 d=3.57128e-05 t=3945
cheng li 	成立	c=1 d=0.0572688 t=3945
cheng ren 	承認	c=0 d=4.39519e-07 t=3945
cheng ren shuo 	承認說	c=1 d=4.41722e-06 t=3945
cheng shi 	城市	c=1 d=1.90696e-06 t=3945
cheng wai 	成外	c=1 d=1.44473e-05 t=3945
cheng wai fu xiao 	成外附小	c=1 d=1.10841e-05 t=3945
cheng wei 	稱謂	c=1 d=0.105928 t=3945
cheng xu 	程序	c=2 d=8.83871e-08 t=3945
chi 	吃	c=0 d=0.000119718 t=3945
chi bi 	赤壁	c=1 d=0.000500451 t=3945
chi cun 	尺寸	c=2 d=0.518643 t=3945
chi ji tian 	吃幾天	c=1 d=0.000710174 t=3945
chi luo luo 	赤裸裸	c=0 d=1.85988e-07 t=3945
chi luo luo de 	赤裸裸的	c=1 d=1.8692e-06 t=3945
chi wan fan 	吃完飯	c=1 d=0.000898306 t=3945
chi xiao 	恥笑	c=1 d=0.174645 t=3945
chong chu lai 	衝出來	c=0 d=7.69585e-09 t=3945
chong chu lai de 	衝出來的	c=1 d=7.73442e-08 t=3945
chong ji 	衝擊	c=0 d=1.04909e-06 t=3945
chong ji gan 	衝擊感	c=1 d=1.05435e-05 t=3945
chong pei 	充沛	c=1 d=0.486752 t=3945
chong xin 	重新	c=1 d=0.197899 t=3945
chu 	儲	c=1 d=0.00694315 t=3945
chu dai 	初代	c=1 d=7.15825e-09 t=3945
chu fa 	出發	c=1 d=0.000288735 t=3945
chu fang 	廚房	c=3 d=0.0233905 t=3945
chu lai 	出來	c=1 d=3.93736e-06 t=3945
chu le 	除了	c=1 d=0.00138093 t=3945
chu qu 	出去	c=1 d=1.7646e-05 t=3945
chu qu 	除去	c=1 d=2.29488e-08 t=3945
chu sheng 	出生	c=2 d=0.000254028 t=3945
chu shi zhang 	廚師長	c=1 d=3.39769e-07 t=3945
chu tou 	鋤頭	c=1 d=0.00565622 t=3945
chu wu 	儲物	c=1 d=0.00697795 t=3945
chu zhong 	初中	c=1 d=1.22815e-06 t=3945
chuan 	串	c=2 d=0.0838072 t=3945
chuan 	氚	c=1 d=0.0480747 t=3945
chuan 	穿	c=1 d=6.25428e-09 t=3945
chuan de 	穿的	c=1 d=2.27715e-05 t=3945
chuan ju 	川劇	c=1 d=1.67478e-08 t=3945
chuan tong 	傳統	c=8 d=1.39916 t=3945
chuan tong qu mu 	傳統曲目	c=1 d=1.50784e-08 t=3945
chuan tong yi shu 	傳統醫術	c=1 d=1.98086e-08 t=3945
chuan zao fu hui 	穿鑿附會	c=1 d=3.51871e-07 t=3945
chuang kou 	窗口	c=2 d=3.97884e-08 t=3945
chuang shi ren 	創始人	c=1 d=0.020141 t=3945
chuang wai 	窗外	c=1 d=1.72966e-05 t=3945
chun 	春	c=2 d=5.95072e-07 t=3945
chun jie 	春節	c=2 d=0.000382483 t=3945
ci 	次	c=0 d=1.84106e-05 t=3945
ci 	疵	c=1 d=5.77343e-09 t=3945
ci 	詞	c=1 d=1 t=3914
ci chu 	此處	c=1 d=0.532592 t=3945
ci chu le 	此處了	c=1 d=8.98612e-08 t=3945
ci ci 	此次	c=0 d=5.18277e-05 t=3945
ci ci dou shi 	此次都是	c=1 d=0.000520875 t=3945
ci dian 	詞典	c=0 d=0.00350844 t=3945
ci dian li mian 	詞典裏面	c=1 d=0.0352602 t=3945
ci hui 	詞彙	c=0 d=0.0323033 t=3945
ci ku 	詞庫	c=1 d=0.0309618 t=3945
ci qing 	刺青	c=1 d=0.000518277 t=3945
cong 	從	c=3 d=0.61879 t=3945
cong lai 	從來	c=0 d=1.55726e-06 t=3945
cong lai dou jue de 	從來都覺得	c=1 d=1.56506e-05 t=3945
cong ming 	聰明	c=0 d=8.17034e-07 t=3945
cu cao 	粗糙	c=0 d=0.00135009 t=3945
cu cao de 	粗糙的	c=1 d=0.0135686 t=3945
cun 	存	c=1 d=0.000212158 t=3945
cun le zhi hou 	存了之後	c=1 d=0.000157671 t=3945
cun qian 	存錢	c=1 d=5.06789e-05 t=3945
cuo le 	錯了	c=1 d=0.0728029 t=3945
cuo luan 	錯亂	c=1 d=0.0824965 t=3945
da 	大	c=1 d=1.63315e-06 t=3945
da 	打	c=5 d=0.0973249 t=3945
da bu chu lai 	打不出來	c=1 d=0.0401553 t=3945
da bu fen 	大部分	c=1 d=6.85686e-07 t=3945
da bu fen ren 	大部分人	c=1 d=6.65595e-06 t=3945
da bu kai 	打不開	c=0 d=9.16765e-09 t=3945
da bu kai le 	打不開了	c=1 d=9.2136e-08 t=3945
da di 	大帝	c=1 d=0.000239969 t=3945
da duan 	打斷	c=0 d=0.000286554 t=3945
da duan xia 	打斷下	c=1 d=0.0028799 t=3945
da duo shu 	大多數	c=0 d=2.03468e-05 t=3945
da duo shu shi 	大多數是	c=1 d=0.000204488 t=3945
da er 	大二	c=0 d=1.07306e-07 t=3945
da er du 	大二度	c=2 d=2.22355e-06 t=3945
da gai 	大概	c=2 d=0.000796742 t=3945
da ji yuan 	大紀元	c=1 d=4.08816e-07 t=3945
da jia 	大家	c=1 d=6.9623e-06 t=3945
da jia hao 	大家好	c=8 d=0.18452 t=3945
da kai 	打開	c=3 d=0.246027 t=3945
da lu ren 	大陸人	c=0 d=3.49213e-07 t=3945
da mai 	大麥	c=2 d=0.0118039 t=3945
da rao 	打擾	c=0 d=4.89442e-08 t=3945
da rao le 	打擾了	c=1 d=4.91895e-07 t=3945
da sao 	打掃	c=1 d=0.126186 t=3945
da sao wei sheng 	打掃衛生	c=1 d=0.12493 t=3945
da sheng shuo hua 	大聲說話	c=1 d=0.000536738 t=3945
da shui piao 	打水漂	c=1 d=0.000132358 t=3945
da xi di 	大溪地	c=1 d=3.0057e-06 t=3945
da xuan 	大選	c=0 d=6.11357e-07 t=3945
da xue 	大學	c=1 d=6.99108e-08 t=3945
da xue ma 	大學嗎	c=1 d=6.30083e-08 t=3945
da ya 	打壓	c=1 d=0.0246002 t=3945
da ya zhi tang 	大雅之堂	c=1 d=1.30747e-07 t=3945
da zhao hu 	打招呼	c=1 d=0.315058 t=3945
da zhi 	大致	c=1 d=0.384812 t=3945
da zhong 	大衆	c=1 d=3.08179e-06 t=3945
da zi ji 	打字機	c=1 d=7.30286e-09 t=3945
dai 	代	c=1 d=0.0129715 t=3945
dai 	帶	c=1 d=0.00778933 t=3945
dai 	待	c=1 d=0.00615154 t=3945
dai dong 	帶動	c=1 d=3.76411e-06 t=3945
dai ka 	帶卡	c=1 d=0.000934966 t=3945
dai le 	待了	c=1 d=0.000982903 t=3945
dai ti 	代替	c=1 d=0.0417941 t=3945
dai wo 	帶我	c=0 d=4.4724e-06 t=3945
dai yu gang 	待浴缸	c=1 d=0.00775048 t=3945
dan ci 	單詞	c=1 d=0.00189223 t=3945
dan du 	單獨	c=0 d=4.21195e-06 t=3945
dan du zhu de ma 	單獨住的嗎	c=1 d=4.23306e-05 t=3945
dan jian 	單間	c=2 d=0.017642 t=3945
dan ren 	單人	c=0 d=0.0625002 t=3945
dan ren pang 	單人旁	c=1 d=0.628135 t=3945
dan shi 	但是	c=3 d=0.0761202 t=3945
dan shi wo 	但是我	c=1 d=3.63464e-06 t=3945
dang ran 	當然	c=2 d=0.0227139 t=3945
dang shi 	當時	c=1 d=0.0140161 t=3945
dang shi zen me bu jue de 	當時怎麼不覺得	c=1 d=2.25449e-05 t=3945
dang xuan 	當選	c=1 d=7.28276e-06 t=3945
dang zuo 	當作	c=0 d=0.0509156 t=3945
dao 	到	c=3 d=0.00838813 t=3945
dao 	道	c=1 d=3.8794e-08 t=3945
dao da 	到達	c=1 d=0.000290183 t=3945
dao le 	到了	c=1 d=0.000429178 t=3945
dao le fa guo yi hou 	到了法國以後	c=1 d=2.31196e-07 t=3945
de 	德	c=4 d=1.79644 t=3945
de 	的	c=131 d=10.6634 t=3945
de hua 	的話	c=3 d=0.0104232 t=3945
de le 	得了	c=1 d=0.0219278 t=3945
de ma 	的嗎	c=1 d=4.4724e-05 t=3945
de na xie 	的那些	c=1 d=2.98299e-05 t=3945
de ren 	的人	c=0 d=0.000487331 t=3945
de shi hou 	的時候	c=1 d=1.27202e-05 t=3945
de shu 	的書	c=0 d=0.000219846 t=3945
de ti mu 	的題目	c=1 d=0.951229 t=3945
de yang zi le 	的樣子了	c=1 d=1.52274e-06 t=3945
de yi si 	的意思	c=4 d=1.56209 t=3945
de yu 	德語	c=5 d=1.72391 t=3945
de yu jiao cai 	德語教材	c=1 d=0.00170362 t=3945
de yu zhu shou 	德語助手	c=1 d=0.000247277 t=3945
de zhao pian 	的照片	c=1 d=2.00958e-05 t=3945
dei 	得	c=0 d=0.00500366 t=3945
deng 	登	c=0 d=4.56353e-08 t=3945
deng 	等	c=8 d=0.530556 t=3945
deng 	鄧	c=2 d=0.000118994 t=3945
deng ji 	登基	c=1 d=0.00124328 t=3945
deng ji tian 	鄧幾天	c=1 d=0.000448321 t=3945
deng le 	等了	c=0 d=0.000104368 t=3945
deng le wo 	等了我	c=1 d=0.00104891 t=3945
deng tong xue 	等同學	c=1 d=0.000992781 t=3945
di 	低	c=2 d=0.0391338 t=3945
di 	地	c=1 d=1.1396e-08 t=3945
di 	第	c=1 d=0.951229 t=3945
di er 	第二	c=0 d=1.50759e-07 t=3945
di er ge 	第二個	c=2 d=3.74457e-05 t=3945
di er wei 	第二位	c=1 d=2.82335e-05 t=3945
di er ye 	第二頁	c=1 d=4.84572e-07 t=3945
di er zhang 	第二張	c=1 d=1.51514e-06 t=3945
di fang 	地方	c=3 d=0.100259 t=3945
di li bo li 	的黎波里	c=1 d=0.00164502 t=3945
di qu 	地區	c=3 d=0.10512 t=3945
di san zhong 	第三種	c=1 d=0.062662 t=3945
di ti 	敵體	c=0 d=3.87808e-05 t=3945
di tou 	低頭	c=1 d=3.70089e-06 t=3945
di tu 	地圖	c=1 d=7.33089e-05 t=3945
di xia 	地下	c=0 d=2.17732e-08 t=3945
di xia jiao hui 	地下教會	c=1 d=2.18824e-07 t=3945
di yi 	第一	c=0 d=2.78132e-06 t=3945
di yi ben 	第一本	c=1 d=0.00272578 t=3945
di yi pai 	第一排	c=2 d=5.76336e-05 t=3945
di yi tian 	第一天	c=0 d=1.37427e-06 t=3945
di yi zhang 	第一章	c=0 d=9.75808e-08 t=3945
di zhen 	地震	c=1 d=1.88311e-05 t=3945
dian cuo 	點錯	c=1 d=0.0043831 t=3945
dian fei 	電費	c=1 d=0.00860854 t=3945
dian hua 	電話	c=1 d=5.5511e-05 t=3945
dian hua ting 	電話亭	c=1 d=1.04674e-08 t=3945
dian ji 	點擊	c=1 d=1.47036e-06 t=3945
dian li 	典禮	c=1 d=3.66169e-05 t=3945
dian nao 	電腦	c=0 d=0.0079659 t=3945
dian re 	電熱	c=1 d=0.00755912 t=3945
dian ti 	電梯	c=1 d=0.0100017 t=3945
dian yuan 	店員	c=1 d=1.12535e-07 t=3945
diao yu dao 	釣魚島	c=2 d=7.37959e-08 t=3945
die 	爹	c=1 d=2.38813e-06 t=3945
die xing 	蝶形	c=1 d=5.46353e-07 t=3945
ding 	丁	c=5 d=2.73289 t=3945
ding 	定	c=1 d=4.0783e-08 t=3945
ding li 	定理	c=1 d=1.66614e-06 t=3945
ding zhi 	定製	c=1 d=8.89519e-06 t=3945
diu shi 	丟失	c=1 d=6.8942e-08 t=3945
dong 	動	c=1 d=0.132655 t=3945
dong 	懂	c=0 d=2.18259e-07 t=3945
dong fang 	東方	c=1 d=0.0262523 t=3945
dong wu 	動物	c=1 d=7.10416e-08 t=3945
dou 	都	c=5 d=0.182705 t=3945
dou bi 	陡壁	c=1 d=4.16069e-08 t=3945
dou bu 	都不	c=0 d=9.09683e-06 t=3945
dou bu yi yang 	都不一樣	c=1 d=9.14242e-05 t=3945
dou hui lai 	都回來	c=0 d=0.000319873 t=3945
dou hui lai le 	都回來了	c=1 d=0.00321477 t=3945
dou ke yi 	都可以	c=1 d=0.000623601 t=3945
dou mei 	都沒	c=1 d=0.00557201 t=3945
dou shi 	都是	c=6 d=0.0424919 t=3945
dou shi fang dong 	都是房東	c=1 d=5.43536e-05 t=3945
dou shi ni 	都是你	c=1 d=0.00465021 t=3945
dou shi zhao 	都是找	c=1 d=0.00022263 t=3945
dou tian le ma 	都填了嗎	c=1 d=5.19707e-07 t=3945
dou zhi chuan 	都只穿	c=1 d=0.00548905 t=3945
du 	度	c=1 d=1.31311e-07 t=3945
du 	讀	c=1 d=0.0026852 t=3945
du 	都	c=1 d=3.14458e-08 t=3945
du dao 	獨島	c=2 d=2.99588e-06 t=3945
du li 	獨立	c=2 d=0.013545 t=3945
