# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	306
#@/user_id	ac57c271-be81-4f5d-ad4b-2447d3186ee2
a5 	啊	c=2 d=0.905673 t=306
hua1 zhi1 	花枝	c=1 d=0.380983 t=306
hua2 wei4 	華爲	c=3 d=2.31713 t=306
hui2 guo2 	回國	c=0 d=0.0904837 t=306
hui2 qu5 	回去	c=0 d=0.0444858 t=306
hui2 qu5 ni3 de5 	回去你的	c=1 d=0.447088 t=306
hui4 	會	c=0 d=0.0451581 t=306
hui4 yuan2 ka3 	會員卡	c=1 d=0.609571 t=306
ji1 nian2 qian2 	幾年前	c=1 d=0.535261 t=306
ji4 du4 	季度	c=1 d=0.66034 t=306
ji4 lu4 	記錄	c=1 d=0.496585 t=306
ji4 ran2 	既然	c=1 d=0.366045 t=306
jiang4 	降	c=2 d=0.516358 t=306
jiao1 	交	c=1 d=0.2334 t=306
jiao1 tong1 gui1 ze2 	交通規則	c=1 d=0.467666 t=306
jin3 zhang1 	緊張	c=1 d=0.377192 t=306
jing1 guo4 	經過	c=1 d=0.767206 t=306
jing1 zhi4 	精緻	c=0 d=0.0637628 t=306
jing1 zhi4 can1 dian3 	精緻餐點	c=1 d=0.640824 t=306
jiu4 	就	c=2 d=1.52934 t=306
jiu4 dao4 le5 	就到了	c=1 d=0.562705 t=306
jiu4 mei2 you3 	就沒有	c=1 d=0.427415 t=306
ju4 qing2 	劇情	c=0 d=0.0360595 t=306
kai1 che1 	開車	c=0 d=0.0458406 t=306
kan1 zhe5 	看着	c=1 d=0.346456 t=306
ke3 yi3 	可以	c=1 d=0.241714 t=306
kou3 wei4 	口味	c=0 d=0.088692 t=306
kou3 wei4 le5 	口味了	c=1 d=0.891366 t=306
kuai4 dian3 	快點	c=1 d=0.444858 t=306
la1 	拉	c=1 d=0.392586 t=306
lang4 fei4 	浪費	c=0 d=0.0625002 t=306
lang4 fei4 ye3 hen3 yan2 zhong4 	浪費也很嚴重	c=1 d=0.628135 t=306
lao3 jia1 	老家	c=1 d=0.923121 t=306
le5 	了	c=1 d=0.582146 t=306
lei4 bie2 	類別	c=0 d=0.0321422 t=306
lei4 bie2 ne5 	類別呢	c=1 d=0.323033 t=306
lei4 si4 	類似	c=1 d=0.882497 t=306
liang3 	兩	c=2 d=1.87883 t=306
lu4 di4 	陸地	c=0 d=0.040657 t=306
lu4 di4 shang4 	陸地上	c=1 d=0.408608 t=306
lu4 shang4 	路上	c=1 d=0.810584 t=306
lv3 xing2 	旅行	c=0 d=0.0331211 t=306
lv4 	率	c=1 d=0.272532 t=306
ma2 la4 	麻辣	c=1 d=0.826959 t=306
ma3 er3 kang1 	馬爾康	c=2 d=1.29537 t=306
mao2 tai2 jiu3 	茅臺酒	c=1 d=0.384812 t=306
mao4 si4 	貌似	c=1 d=0.970446 t=306
mei2 you3 	沒有	c=2 d=0.604532 t=306
mei2 you3 zhao3 dao4 	沒有找到	c=1 d=0.319819 t=306
mei3 ci4 	每次	c=0 d=0.0904837 t=306
mei3 ci4 hui2 guo2 	每次回國	c=1 d=0.909373 t=306
men2 	門	c=1 d=0.292293 t=306
meng3 shou4 	猛獸	c=1 d=0.951229 t=306
mian4 	面	c=1 d=0.514407 t=306
ming2 hua2 tang2 	明華堂	c=1 d=0.965605 t=306
ming2 liang4 	明亮	c=1 d=0.360595 t=306
ming2 ming2 	明明	c=1 d=0.597501 t=306
na3 jia1 	哪家	c=1 d=0.396531 t=306
na3 li3 	哪裏	c=0 d=0.0355226 t=306
na3 li3 you3 	哪裏有	c=1 d=0.357007 t=306
na4 ge5 	那個	c=1 d=0.847894 t=306
na4 jia1 	那家	c=1 d=0.818731 t=306
na4 me5 	那麼	c=2 d=0.779042 t=306
na4 me5 zi4 xin4 	那麼自信	c=1 d=0.451581 t=306
nan2 	南	c=1 d=0.806541 t=306
nan2 hai2 	男孩	c=1 d=0.551563 t=306
ne5 	呢	c=2 d=0.640494 t=306
ni3 	你	c=1 d=0.339142 t=306
ni3 de5 	你的	c=0 d=0.0444858 t=306
ni3 zai4 	你在	c=0 d=0.022091 t=306
ni3 zai4 gan4 shen2 me5 	你在幹什麼	c=1 d=0.222017 t=306
niu2 rou4 	牛肉	c=1 d=0.822835 t=306
nu2 li4 	奴隸	c=1 d=0.331211 t=306
pao1 qi4 	拋棄	c=1 d=0.726149 t=306
pian4 ma5 	片嗎	c=1 d=0.318224 t=306
piao4 	票	c=0 d=0.0600496 t=306
pin3 pai2 	品牌	c=1 d=0.657047 t=306
ping2 jun1 	平均	c=1 d=0.271173 t=306
pu2 	脯	c=1 d=0.390628 t=306
qi2 ta1 	其他	c=1 d=0.856415 t=306
qi2 yu2 de5 	其餘的	c=1 d=0.718924 t=306
qi4 che1 	汽車	c=0 d=0.0410656 t=306
qi4 che1 fei1 ji1 	汽車飛機	c=1 d=0.412714 t=306
qiao2 mai4 	蕎麥	c=0 d=0.0826959 t=306
qiao2 mai4 mian4 	蕎麥面	c=1 d=0.831104 t=306
qiong2 	窮	c=0 d=0.0327915 t=306
qu3 bao3 	取保	c=0 d=0.0774916 t=306
qu3 bao3 hou4 shen3 	取保候審	c=1 d=0.778801 t=306
qu4 	去	c=1 d=0.923116 t=306
quan2 bu4 	全部	c=1 d=0.722527 t=306
quan2 yin1 	全音	c=0 d=0.0283654 t=306
que4 	卻	c=1 d=0.615697 t=306
rang4 ren2 	讓人	c=0 d=0.0588605 t=306
ren2 	人	c=1 d=0.554327 t=306
ren2 kou3 	人口	c=2 d=1.04673 t=306
rou4 pu1 	肉鋪	c=1 d=0.386741 t=306
ru2 e2 	如額	c=1 d=0.32628 t=306
ru4 jing4 	入境	c=1 d=0.298197 t=306
san1 	三	c=0 d=0.101347 t=306
san1 fen1 yin1 fu2 	三分音符	c=1 d=0.290835 t=306
san1 ge4 	三個	c=1 d=0.261846 t=306
san1 quan2 yin1 	三全音	c=1 d=0.285076 t=306
shang1 jia1 	商家	c=1 d=0.744532 t=306
shang4 	上	c=1 d=0.63518 t=306
shang4 hai3 	上海	c=1 d=0.313486 t=306
sheng1 	升	c=2 d=0.513386 t=306
shi2 cai2 	食材	c=1 d=0.70822 t=306
shi2 pin3 	食品	c=1 d=0.38868 t=306
shi2 zai4 	實在	c=0 d=0.0588605 t=306
shi2 zai4 rang4 ren2 wu2 yu3 	實在讓人無語	c=1 d=0.591555 t=306
shi2 zhuang1 	時裝	c=1 d=0.631284 t=306
shi4 	是	c=4 d=1.16387 t=306
shi4 fa1 	事發	c=1 d=0.489192 t=306
shi4 jie4 	世界	c=0 d=0.056836 t=306
shu1 	輸	c=1 d=0.229925 t=306
shu4 zi4 	數字	c=1 d=0.231078 t=306
si3 	死	c=0 d=0.0408608 t=306
si3 xing2 	死刑	c=1 d=0.960789 t=306
si4 chuan1 	四川	c=1 d=0.620095 t=306
si4 chuan1 lao3 jia1 	四川老家	c=1 d=0.798516 t=306
